userId,logDate,deviceSleepLogCount,deviceSleepDurationInMin
83443,2025-12-01,1,94
83674,2025-11-24,1,402
83674,2025-12-02,1,411
83674,2025-12-05,1,60
83674,2025-12-06,1,543
83674,2025-12-08,1,464
83674,2025-12-09,1,436
83674,2025-12-10,1,497
83674,2025-12-11,1,420
83674,2025-12-16,1,430
83674,2025-12-17,1,490
84288,2025-11-24,1,266
84288,2025-11-25,1,0
84288,2025-11-26,1,57
84288,2025-11-27,1,512
84288,2025-11-28,1,314
84635,2025-11-28,1,344
84635,2025-11-30,1,476
84635,2025-12-08,1,451
84635,2025-12-12,1,493
84635,2025-12-14,1,0
84635,2025-12-15,1,318
167486,2025-11-24,1,405
167486,2025-11-25,1,445
167486,2025-11-26,1,350
167486,2025-11-27,1,495
167486,2025-11-28,1,240
167486,2025-11-29,1,430
167486,2025-11-30,1,480
167486,2025-12-01,1,440
167486,2025-12-02,1,435
167486,2025-12-03,1,475
167486,2025-12-04,1,405
167486,2025-12-05,1,500
167486,2025-12-06,1,440
167486,2025-12-07,1,350
167486,2025-12-08,1,240
167486,2025-12-09,1,430
167486,2025-12-10,1,350
167486,2025-12-11,1,240
167486,2025-12-12,1,450
167486,2025-12-13,1,360
167486,2025-12-14,1,415
167486,2025-12-15,1,420
167486,2025-12-16,1,430
167486,2025-12-17,1,480
167682,2025-11-24,1,409
167682,2025-11-25,1,436
167682,2025-11-26,1,397
167682,2025-11-27,1,541
167682,2025-11-28,1,466
167682,2025-11-29,1,449
167682,2025-11-30,1,459
167682,2025-12-01,1,448
167682,2025-12-02,1,398
167682,2025-12-03,1,404
167682,2025-12-04,1,436
167682,2025-12-05,1,428
167682,2025-12-06,1,514
167682,2025-12-07,1,394
167682,2025-12-08,1,133
167682,2025-12-09,1,245
167682,2025-12-10,1,414
167682,2025-12-12,1,449
167682,2025-12-14,1,447
167682,2025-12-15,1,401
167682,2025-12-16,1,432
167682,2025-12-17,1,445
835846,2025-11-24,1,465
835846,2025-11-25,1,485
835846,2025-11-26,1,445
835846,2025-11-27,1,465
835846,2025-11-28,1,505
835846,2025-11-29,1,450
835846,2025-11-30,1,525
835846,2025-12-01,1,490
835846,2025-12-02,1,440
835846,2025-12-03,1,485
835846,2025-12-04,1,435
835846,2025-12-05,1,410
835846,2025-12-07,1,450
