userId,logDate,dailyFoodLogCount,dailyCalGained
83443,2025-11-24,6,1807
83443,2025-11-25,7,1300
83443,2025-11-26,4,1410
83443,2025-11-27,5,2136.5
83443,2025-11-28,3,1749
83443,2025-11-29,3,1607
83443,2025-11-30,4,1748
83443,2025-12-01,3,2189
83443,2025-12-02,3,1916
83443,2025-12-03,3,2113
83443,2025-12-04,4,2158
83443,2025-12-05,4,1700
83443,2025-12-06,3,1778.5
83443,2025-12-07,3,1517
83443,2025-12-08,3,2282
83443,2025-12-09,3,2254.5
83443,2025-12-10,3,730
83443,2025-12-11,3,1517.5
83443,2025-12-12,3,950
83443,2025-12-13,4,1347
83443,2025-12-14,3,1501.5
83443,2025-12-15,5,1385
83443,2025-12-16,3,1807
83443,2025-12-17,3,1644
83674,2025-11-24,5,1612
83674,2025-11-25,4,1688
83674,2025-11-26,6,2291.5
83674,2025-11-27,4,1632
83674,2025-11-28,10,2955.5
83674,2025-11-29,5,1904
83674,2025-11-30,5,2309
83674,2025-12-01,5,1319.5
83674,2025-12-02,4,1642
83674,2025-12-03,4,1827
83674,2025-12-04,4,1892
83674,2025-12-05,4,2469
83674,2025-12-06,6,2451
83674,2025-12-07,7,2368.5
83674,2025-12-08,6,1886.5
83674,2025-12-09,7,2301
83674,2025-12-10,4,1491.5
83674,2025-12-11,6,2147
83674,2025-12-12,4,1935
83674,2025-12-13,6,2412.5
83674,2025-12-14,5,2374
83674,2025-12-15,3,1492
83674,2025-12-16,6,2101
83674,2025-12-17,4,2069.5
84288,2025-11-24,2,429
84288,2025-11-25,4,1876
84288,2025-11-26,4,1781
84288,2025-11-27,4,1682
84288,2025-11-30,4,1215
84288,2025-12-02,6,1744
84288,2025-12-03,6,1125
84288,2025-12-04,5,2030
84288,2025-12-05,5,522
84288,2025-12-06,2,83
84288,2025-12-07,4,1790
84288,2025-12-08,5,1807
84288,2025-12-09,6,1763
84288,2025-12-10,6,1860
84288,2025-12-11,4,919
84288,2025-12-12,7,1605
84288,2025-12-14,4,1439
84288,2025-12-16,4,2081
84288,2025-12-17,1,0
84635,2025-11-25,2,563
84635,2025-11-26,3,1357
84635,2025-11-27,6,1085
84635,2025-11-28,4,555
84635,2025-11-29,4,1362
84635,2025-11-30,2,785
84635,2025-12-01,5,1363
84635,2025-12-02,5,1817
84635,2025-12-03,5,1758
84635,2025-12-04,5,2171
84635,2025-12-05,7,2331
84635,2025-12-06,6,1982
84635,2025-12-07,4,1186
84635,2025-12-08,4,1352
84635,2025-12-09,5,1323
84635,2025-12-10,4,796
84635,2025-12-11,4,1833
84635,2025-12-12,5,1886
84635,2025-12-13,3,1127
84635,2025-12-14,4,280
84635,2025-12-15,4,1417
84635,2025-12-16,5,1216
84635,2025-12-17,4,692
167486,2025-11-28,4,1560
167486,2025-11-29,6,1516.5
167486,2025-11-30,1,324
167486,2025-12-02,1,210
167486,2025-12-03,4,1773.5
167486,2025-12-04,1,530
167486,2025-12-07,1,0
167486,2025-12-12,1,250
167486,2025-12-13,2,360
167486,2025-12-14,1,0
167486,2025-12-16,4,1422
167682,2025-11-24,4,1957
167682,2025-11-25,3,1779.5
167682,2025-11-26,3,865
167682,2025-11-27,5,1528.5
167682,2025-11-28,5,1533.5
167682,2025-11-29,4,1626.5
167682,2025-11-30,6,1175
167682,2025-12-01,5,1665
167682,2025-12-02,2,488
167682,2025-12-03,5,1127.5
167682,2025-12-04,4,1136
167682,2025-12-05,4,1502.5
167682,2025-12-06,4,1495
167682,2025-12-07,3,1075.5
167682,2025-12-08,5,1161
167682,2025-12-09,4,1242
167682,2025-12-10,5,1364
167682,2025-12-11,3,1091.5
167682,2025-12-12,6,1580
167682,2025-12-13,4,1338
167682,2025-12-14,2,832
167682,2025-12-15,3,1298.5
167682,2025-12-16,4,1135
167682,2025-12-17,3,1339.5
209207,2025-11-24,3,1281
209207,2025-11-25,1,240
209207,2025-12-08,4,1516
209207,2025-12-09,5,1456
209207,2025-12-10,3,1528
209207,2025-12-11,4,1526
209207,2025-12-12,3,1512
209207,2025-12-13,4,1362
209207,2025-12-14,4,1634
209207,2025-12-16,4,2113
209207,2025-12-17,4,1249
835846,2025-11-24,3,0
835846,2025-11-25,5,607
835846,2025-11-26,3,0
835846,2025-11-27,3,509
835846,2025-11-28,3,420
835846,2025-11-29,3,786
835846,2025-11-30,3,885
835846,2025-12-01,3,0
835846,2025-12-02,3,0
835846,2025-12-03,3,0
835846,2025-12-04,3,0
835846,2025-12-05,3,0
835846,2025-12-06,3,0
835846,2025-12-07,3,433
835846,2025-12-08,3,0
835846,2025-12-09,3,0
835846,2025-12-10,3,0
835846,2025-12-11,3,0
835846,2025-12-12,3,0
835846,2025-12-13,3,0
835846,2025-12-14,3,135
835846,2025-12-15,3,0
835846,2025-12-16,3,0
835846,2025-12-17,3,0
4797679,2025-11-25,2,1368
4797679,2025-11-26,2,0
4797679,2025-11-27,2,360
4797679,2025-11-28,2,1044
4797679,2025-11-29,4,244
4797679,2025-11-30,2,0
4797679,2025-12-01,3,738
4797679,2025-12-04,1,304
4797679,2025-12-05,1,274
4797679,2025-12-06,3,1373
4797679,2025-12-07,1,239
4797679,2025-12-08,3,0
4797679,2025-12-09,5,652
4797679,2025-12-10,4,0
4797679,2025-12-11,2,0
4797679,2025-12-12,3,0
4797679,2025-12-13,4,0
4797679,2025-12-14,4,0
4797679,2025-12-15,4,0
4797679,2025-12-16,4,0
4797679,2025-12-17,4,0
5039865,2025-11-24,2,190
5039865,2025-12-01,2,190
5039865,2025-12-03,1,0
5039865,2025-12-07,1,0
5039865,2025-12-08,5,0
5039865,2025-12-09,2,0
5039865,2025-12-10,3,0
5039865,2025-12-12,2,0
5039865,2025-12-13,4,300
6165857,2025-11-24,1,350
6165857,2025-11-25,3,1391
6165857,2025-11-26,6,2141
6165857,2025-11-27,4,1576
6165857,2025-11-28,3,893
6165857,2025-11-29,4,2078
6165857,2025-11-30,6,1958
6165857,2025-12-01,6,1426
6165857,2025-12-02,3,1921
6165857,2025-12-03,2,1051
6165857,2025-12-04,3,1599
6165857,2025-12-05,4,1922
6165857,2025-12-06,4,1932
6165857,2025-12-07,3,2576
6165857,2025-12-08,3,1775
6165857,2025-12-09,5,2142
6165857,2025-12-10,3,1655.5
6165857,2025-12-11,5,2341
6165857,2025-12-12,4,2229.5
6165857,2025-12-13,4,2060
6165857,2025-12-14,3,2717
6165857,2025-12-15,4,1919
6165857,2025-12-16,3,2195
6165857,2025-12-17,3,1698
6166080,2025-11-28,6,1147
6166080,2025-11-29,8,1136
6166080,2025-11-30,6,1260
