userid,logDate,gamename,cognitiveScore,gameScore
83674,2025-11-25,Remember,63,1838
83674,2025-11-26,Remember,65,1904
83674,2025-11-27,Remember,74,2758
83674,2025-11-28,Remember,42,358
83674,2025-11-28,Remember,70,2440
83674,2025-11-28,Remember,77,3180
83674,2025-11-30,Remember,81,3480
83674,2025-12-02,Remember,88,4279
83674,2025-12-03,Remember,86,4029
83674,2025-12-04,Remember,64,1998
83674,2025-12-05,Remember,88,4329
83674,2025-12-06,Remember,80,3520
83674,2025-12-07,Remember,80,3410
83674,2025-12-08,Remember,90,4860
83674,2025-12-09,Remember,91,5155
83674,2025-12-10,Remember,83,3710
83674,2025-12-11,Remember,89,4710
83674,2025-12-15,Remember,85,3932
83674,2025-12-15,Remember,92,5403
83674,2025-12-16,Remember,85,4060
83674,2025-12-16,Remember,74,2625
83674,2025-12-17,Remember,79,3293
83674,2025-11-25,"Memory Go Round",37,455
83674,2025-11-25,"Memory Go Round",67,1313
83674,2025-11-26,"Memory Go Round",53,644
83674,2025-11-27,"Memory Go Round",50,391
83674,2025-11-28,"Memory Go Round",60,918
83674,2025-11-28,"Memory Go Round",67,1225
83674,2025-11-28,"Memory Go Round",63,1140
83674,2025-11-30,"Memory Go Round",69,1404
83674,2025-12-02,"Memory Go Round",67,1313
83674,2025-12-04,"Memory Go Round",60,978
83674,2025-12-05,"Memory Go Round",68,1363
83674,2025-12-06,"Memory Go Round",56,848
83674,2025-12-07,"Memory Go Round",71,1595
83674,2025-12-08,"Memory Go Round",60,997
83674,2025-12-09,"Memory Go Round",69,1404
83674,2025-12-10,"Memory Go Round",69,1404
83674,2025-12-11,"Memory Go Round",67,1225
83674,2025-12-15,"Memory Go Round",70,1498
83674,2025-12-15,"Memory Go Round",70,1498
83674,2025-12-16,"Memory Go Round",67,1313
83674,2025-12-17,"Memory Go Round",59,979
83674,2025-11-25,"Brain Sparkle",64,1208
83674,2025-11-25,"Brain Sparkle",0,0
83674,2025-11-26,"Brain Sparkle",58,903
83674,2025-11-27,"Brain Sparkle",68,1408
83674,2025-11-28,"Brain Sparkle",48,632
83674,2025-11-28,"Brain Sparkle",68,1390
83674,2025-11-29,"Brain Sparkle",57,968
83674,2025-11-30,"Brain Sparkle",70,1508
83674,2025-12-01,"Brain Sparkle",82,2154
83674,2025-12-02,"Brain Sparkle",73,1625
83674,2025-12-03,"Brain Sparkle",62,1160
83674,2025-12-04,"Brain Sparkle",73,1625
83674,2025-12-05,"Brain Sparkle",80,2013
83674,2025-12-06,"Brain Sparkle",55,848
83674,2025-12-07,"Brain Sparkle",53,883
83674,2025-12-08,"Brain Sparkle",66,1308
83674,2025-12-09,"Brain Sparkle",65,1258
83674,2025-12-10,"Brain Sparkle",50,609
83674,2025-12-11,"Brain Sparkle",65,1258
83674,2025-12-15,"Brain Sparkle",68,1440
83674,2025-12-15,"Brain Sparkle",84,2298
83674,2025-12-16,"Brain Sparkle",66,1340
83674,2025-12-17,"Brain Sparkle",25,325
83674,2025-11-24,"Finding Nano",45,510
83674,2025-11-25,"Finding Nano",45,510
83674,2025-11-25,"Finding Nano",34,258
83674,2025-11-25,"Finding Nano",37,332
83674,2025-11-26,"Finding Nano",38,346
83674,2025-11-27,"Finding Nano",35,354
83674,2025-11-28,"Finding Nano",40,455
83674,2025-11-28,"Finding Nano",37,299
83674,2025-11-28,"Finding Nano",47,568
83674,2025-11-29,"Finding Nano",54,693
83674,2025-11-30,"Finding Nano",47,568
83674,2025-11-30,"Finding Nano",51,629
83674,2025-12-01,"Finding Nano",45,452
83674,2025-12-02,"Finding Nano",51,629
83674,2025-12-03,"Finding Nano",32,189
83674,2025-12-04,"Finding Nano",54,693
83674,2025-12-05,"Finding Nano",56,760
83674,2025-12-06,"Finding Nano",44,401
83674,2025-12-07,"Finding Nano",42,393
83674,2025-12-08,"Finding Nano",39,350
83674,2025-12-09,"Finding Nano",45,434
83674,2025-12-10,"Finding Nano",51,629
83674,2025-12-11,"Finding Nano",54,693
83674,2025-12-12,"Finding Nano",54,693
83674,2025-12-13,"Finding Nano",45,437
83674,2025-12-14,"Finding Nano",51,629
83674,2025-12-15,"Finding Nano",47,568
83674,2025-12-15,"Finding Nano",54,693
83674,2025-12-16,"Finding Nano",37,403
83674,2025-12-16,"Finding Nano",54,693
83674,2025-12-17,"Finding Nano",51,629
83674,2025-11-24,"Calculated Risk",59,873
83674,2025-11-25,"Calculated Risk",63,1061
83674,2025-11-25,"Calculated Risk",48,530
83674,2025-11-26,"Calculated Risk",59,886
83674,2025-11-27,"Calculated Risk",57,911
83674,2025-11-28,"Calculated Risk",70,1444
83674,2025-11-28,"Calculated Risk",63,1063
83674,2025-11-29,"Calculated Risk",47,453
83674,2025-11-30,"Calculated Risk",69,1313
83674,2025-12-01,"Calculated Risk",67,1290
83674,2025-12-02,"Calculated Risk",75,1654
83674,2025-12-04,"Calculated Risk",71,1463
83674,2025-12-05,"Calculated Risk",67,1309
83674,2025-12-06,"Calculated Risk",78,1907
83674,2025-12-07,"Calculated Risk",74,1604
83674,2025-12-08,"Calculated Risk",71,1413
83674,2025-12-09,"Calculated Risk",79,1895
83674,2025-12-10,"Calculated Risk",63,1045
83674,2025-12-11,"Calculated Risk",70,1431
83674,2025-12-13,"Calculated Risk",72,1606
83674,2025-12-15,"Calculated Risk",59,973
83674,2025-12-15,"Calculated Risk",63,1124
83674,2025-12-16,"Calculated Risk",79,1895
83674,2025-12-17,"Calculated Risk",52,613
84288,2025-11-24,Remember,76,3058
84288,2025-11-25,Remember,78,3203
84288,2025-11-25,Remember,92,5403
84288,2025-11-25,Remember,73,2741
84288,2025-11-26,Remember,88,4468
84288,2025-11-27,Remember,95,5904
84288,2025-11-29,Remember,88,4468
84288,2025-11-30,Remember,91,4729
84288,2025-12-02,Remember,75,3047
84288,2025-12-03,Remember,90,5005
84288,2025-12-04,Remember,83,3988
84288,2025-12-05,Remember,91,4910
84288,2025-12-06,Remember,94,5754
84288,2025-12-06,Remember,92,5205
84288,2025-12-06,Remember,92,5453
