userId,logDate,manualSleepLogCount,manualSleepDurationInMin
83443,2025-11-24,2,540
83443,2025-11-25,1,450
83443,2025-11-26,1,435
83443,2025-11-27,1,465
83443,2025-11-28,1,420
83443,2025-11-29,1,510
83443,2025-11-30,2,450
83443,2025-12-01,1,435
83443,2025-12-02,1,450
83443,2025-12-03,1,450
83443,2025-12-04,1,450
83443,2025-12-05,1,480
83443,2025-12-06,1,450
83443,2025-12-07,1,420
83443,2025-12-08,1,435
83443,2025-12-09,1,270
83443,2025-12-10,1,450
83443,2025-12-11,1,1200
83443,2025-12-12,1,450
83443,2025-12-13,1,450
83443,2025-12-14,1,525
83443,2025-12-15,1,450
83443,2025-12-16,1,420
83443,2025-12-17,1,450
83674,2025-11-24,1,510
83674,2025-11-26,1,510
83674,2025-11-27,2,991
83674,2025-11-28,1,1110
83674,2025-11-29,1,1170
83674,2025-11-30,1,540
83674,2025-12-01,1,1200
83674,2025-12-03,1,1200
83674,2025-12-04,1,1125
83674,2025-12-07,1,510
83674,2025-12-10,1,510
83674,2025-12-11,1,465
83674,2025-12-12,1,510
83674,2025-12-13,1,370
83674,2025-12-14,1,570
83674,2025-12-15,1,435
84288,2025-11-24,1,399
84288,2025-11-25,1,470
84288,2025-11-26,1,374
84288,2025-11-27,1,469
84288,2025-11-28,1,962
84288,2025-11-29,1,217
84288,2025-11-30,1,412
84288,2025-12-01,1,460
84288,2025-12-02,1,420
84288,2025-12-03,1,450
84288,2025-12-04,1,425
84288,2025-12-05,1,495
84288,2025-12-06,1,395
84288,2025-12-07,1,420
84288,2025-12-08,1,520
84288,2025-12-09,1,395
84288,2025-12-10,1,574
84288,2025-12-11,1,400
84288,2025-12-12,1,400
84288,2025-12-13,1,435
84288,2025-12-14,1,414
84288,2025-12-15,1,390
84288,2025-12-16,1,439
84288,2025-12-17,1,415
84635,2025-11-24,1,480
84635,2025-11-25,1,480
84635,2025-11-26,1,480
84635,2025-11-27,1,483
84635,2025-11-28,2,930
84635,2025-11-29,1,480
84635,2025-11-30,1,480
84635,2025-12-01,1,480
84635,2025-12-02,1,480
84635,2025-12-03,1,483
84635,2025-12-04,1,483
84635,2025-12-05,1,520
84635,2025-12-06,1,480
84635,2025-12-07,1,480
84635,2025-12-08,1,480
84635,2025-12-09,2,1109
84635,2025-12-10,2,1854
84635,2025-12-11,1,450
84635,2025-12-12,2,924
84635,2025-12-13,1,554
84635,2025-12-14,1,435
84635,2025-12-16,1,449
84635,2025-12-17,1,449
167486,2025-11-27,1,480
167486,2025-11-28,2,945
167486,2025-11-29,1,465
167486,2025-12-02,1,455
167486,2025-12-10,1,335
167486,2025-12-11,6,2730
167486,2025-12-12,2,910
167682,2025-11-24,1,1140
167682,2025-11-25,1,1170
167682,2025-11-26,1,480
167682,2025-11-27,1,450
167682,2025-11-28,1,450
167682,2025-11-30,1,450
167682,2025-12-01,1,420
167682,2025-12-02,1,480
167682,2025-12-07,2,570
167682,2025-12-08,1,120
167682,2025-12-09,1,450
167682,2025-12-10,1,450
167682,2025-12-11,1,450
167682,2025-12-13,2,900
167682,2025-12-14,1,480
167682,2025-12-15,1,466
167682,2025-12-16,1,420
167682,2025-12-17,1,450
209207,2025-11-25,1,1110
209207,2025-11-26,2,1620
209207,2025-12-08,1,300
209207,2025-12-09,1,420
209207,2025-12-12,1,420
209207,2025-12-13,1,1170
835846,2025-12-04,1,119
835846,2025-12-06,2,599
835846,2025-12-12,1,480
4797679,2025-11-28,1,480
4797679,2025-11-30,1,480
4797679,2025-12-01,1,480
4797679,2025-12-06,1,480
4797679,2025-12-09,1,1170
4797679,2025-12-10,2,2340
4797679,2025-12-13,1,1200
5039865,2025-12-08,1,420
6165857,2025-11-24,2,870
6165857,2025-11-25,1,435
6165857,2025-11-27,1,435
6165857,2025-11-29,1,435
6165857,2025-12-01,1,495
6165857,2025-12-02,1,555
6165857,2025-12-03,2,1050
6165857,2025-12-04,1,486
6165857,2025-12-05,1,453
6165857,2025-12-06,1,410
6165857,2025-12-07,1,486
6165857,2025-12-08,1,552
6165857,2025-12-09,2,927
6165857,2025-12-10,1,324
6165857,2025-12-11,3,1074
6165857,2025-12-12,4,1776
6165857,2025-12-13,2,780
6165857,2025-12-15,1,390
6165857,2025-12-16,1,390
6165857,2025-12-17,1,390
6166080,2025-11-27,1,480
6166080,2025-11-29,1,390
6166080,2025-12-02,1,330
6166080,2025-12-04,4,1589
6166080,2025-12-05,1,420
6166080,2025-12-07,2,689
6166080,2025-12-08,1,509
6166080,2025-12-09,1,389
6166080,2025-12-12,1,389
6166080,2025-12-14,1,329
6166080,2025-12-15,1,539
6166080,2025-12-16,1,404
6166080,2025-12-17,1,404
6166162,2025-12-04,2,960
6166162,2025-12-05,1,480
6166162,2025-12-06,1,480
6166162,2025-12-09,1,480
6166162,2025-12-12,3,1440
6166162,2025-12-17,1,480
6166166,2025-11-24,2,1470
6166166,2025-11-30,1,690
6166166,2025-12-02,1,570
6166166,2025-12-04,1,570
6166166,2025-12-05,2,2700
6166166,2025-12-06,3,4050
6166166,2025-12-08,3,4050
6166166,2025-12-09,2,2700
6166166,2025-12-10,1,1350
6166166,2025-12-13,1,1350
6166227,2025-12-06,1,138
6166227,2025-12-07,1,327
6166227,2025-12-08,2,758
6166227,2025-12-09,1,439
6166227,2025-12-10,1,388
6166227,2025-12-11,2,792
6166227,2025-12-12,1,416
6166227,2025-12-14,1,411
6166227,2025-12-15,1,411
6166227,2025-12-16,2,594
6166227,2025-12-17,2,464
6166305,2025-11-24,2,915
6166305,2025-11-25,1,525
6166305,2025-11-26,1,519
6166305,2025-11-27,2,410
6166305,2025-11-28,3,1270
6166305,2025-11-30,2,670
6166305,2025-12-01,1,455
6166305,2025-12-02,1,415
6166305,2025-12-03,2,790
6166305,2025-12-05,2,860
6166305,2025-12-06,1,360
6166305,2025-12-08,1,450
6166305,2025-12-09,1,435
6166305,2025-12-10,1,460
6166305,2025-12-11,1,375
6166305,2025-12-12,1,455
6166305,2025-12-14,1,420
6166305,2025-12-15,2,940
6166305,2025-12-16,1,490
6166305,2025-12-17,2,880
6166306,2025-11-24,2,418
6166306,2025-11-25,1,365
6166306,2025-11-26,1,435
6166306,2025-11-28,1,314
6166306,2025-11-30,1,450
6166306,2025-12-01,1,449
6166306,2025-12-02,1,449
6166306,2025-12-03,1,420
6166306,2025-12-04,1,380
6166306,2025-12-05,1,400
6166306,2025-12-06,1,489
6166306,2025-12-07,1,489
6166306,2025-12-09,1,390
6166306,2025-12-10,1,390
6166306,2025-12-11,2,420
6166306,2025-12-12,1,434
6166306,2025-12-13,1,344
6166306,2025-12-15,1,313
6166306,2025-12-16,1,389
6166306,2025-12-17,1,480
6166310,2025-11-24,1,425
6166310,2025-12-05,1,420
6166310,2025-12-06,3,1260
6166310,2025-12-07,1,425
6166310,2025-12-08,1,420
6166310,2025-12-09,2,810
6166310,2025-12-11,2,855
6166310,2025-12-13,2,855
6166310,2025-12-16,1,435
6166310,2025-12-17,1,420
6166483,2025-11-24,1,420
6166483,2025-11-25,2,794
6166483,2025-11-26,1,420
6166483,2025-11-27,1,360
6166483,2025-11-28,1,300
6166483,2025-11-29,1,380
6166483,2025-12-01,1,370
6166483,2025-12-02,1,482
6166483,2025-12-03,1,327
6166483,2025-12-04,1,327
6166483,2025-12-05,1,330
6166483,2025-12-06,1,420
6166483,2025-12-07,1,406
6166483,2025-12-08,1,374
6166483,2025-12-11,1,360
6166483,2025-12-12,1,520
6166483,2025-12-13,1,420
6166483,2025-12-15,1,445
6166483,2025-12-16,1,505
